ID,Model,ConfidenceThreshold,AvgWarmUpTimeMs,AvgInferenceTimeMs,Avg#Detection,AverageF_BetaScore
outputs\OTHER\luggage_EfficientDet_0.05_0,EfficientDet,0.05,0.4359927177429199,0.4225659370422363,16.0,0.0
outputs\OTHER\luggage_EfficientDet_0.1_0,EfficientDet,0.1,0.4166193008422851,0.4099698066711426,6.0,0.0
outputs\OTHER\luggage_EfficientDet_0.15_0,EfficientDet,0.15,0.4301066398620605,0.4383676052093506,5.0,0.0
outputs\OTHER\luggage_EfficientDet_0.2_0,EfficientDet,0.2,0.4318799972534179,0.4508674144744873,3.0,0.0
outputs\OTHER\luggage_EfficientDet_0.25_0,EfficientDet,0.25,0.4617762565612793,0.4403002262115478,2.0,0.0
outputs\OTHER\luggage_EfficientDet_0.3_0,EfficientDet,0.3,0.4176619052886963,0.4158437252044678,2.0,0.0
outputs\OTHER\luggage_EfficientDet_0.35_0,EfficientDet,0.35,0.4448480606079101,0.4086050987243652,2.0,0.0
outputs\OTHER\luggage_EfficientDet_0.4_0,EfficientDet,0.4,0.4446048736572265,0.4277145862579345,2.0,0.0
outputs\OTHER\luggage_EfficientDet_0.45_0,EfficientDet,0.45,0.440422773361206,0.4415009021759033,2.0,0.0
outputs\OTHER\luggage_EfficientDet_0.5_0,EfficientDet,0.5,0.4215726852416992,0.4216086864471435,2.0,0.0
outputs\OTHER\luggage_EfficientDet_0.55_0,EfficientDet,0.55,0.4528250694274902,0.4315345287322998,2.0,0.0
outputs\OTHER\luggage_EfficientDet_0.6_0,EfficientDet,0.6,0.4289026260375976,0.4330360889434814,2.0,0.0
outputs\OTHER\luggage_EfficientDet_0.65_0,EfficientDet,0.65,0.4143855571746826,0.4273841381072998,2.0,0.0
outputs\OTHER\luggage_EfficientDet_0.7_0,EfficientDet,0.7,0.4188196659088135,0.4406685829162597,2.0,0.0
outputs\OTHER\luggage_EfficientDet_0.75_0,EfficientDet,0.75,0.4197230339050293,0.4437236785888672,1.0,0.0
outputs\OTHER\luggage_EfficientDet_0.8_0,EfficientDet,0.8,0.4199686050415039,0.4072127342224121,0.0,0.0
outputs\OTHER\luggage_EfficientDet_0.85_0,EfficientDet,0.85,0.4171135425567627,0.4162492752075195,0.0,0.0
outputs\OTHER\luggage_EfficientDet_0.9_0,EfficientDet,0.9,0.4401695728302002,0.4238121509552002,0.0,0.0
outputs\OTHER\luggage_EfficientDet_0.95_0,EfficientDet,0.95,0.4935719966888428,0.44366455078125,0.0,0.0
outputs\OTHER\luggage_SSDMobileNet_0.05_0,SSDMobileNet,0.05,0.0156600475311279,0.0209803581237792,10.0,0.0
outputs\OTHER\luggage_SSDMobileNet_0.1_0,SSDMobileNet,0.1,0.0240938663482666,0.0138182640075683,10.0,0.0
outputs\OTHER\luggage_SSDMobileNet_0.15_0,SSDMobileNet,0.15,0.0156586170196533,0.0169718265533447,10.0,0.0
outputs\OTHER\luggage_SSDMobileNet_0.2_0,SSDMobileNet,0.2,0.0105116367340087,0.0272629261016845,10.0,0.0
